iteration,rmse,mae
1,0.839904,0.655521
2,0.765915,0.592373
3,0.737041,0.568906
4,0.722036,0.55712
5,0.713591,0.550518
6,0.708098,0.546195
7,0.704185,0.543068
8,0.701212,0.540597
9,0.69885,0.538508
10,0.696934,0.53677
11,0.695355,0.535366
12,0.694034,0.534215
13,0.692914,0.53323
14,0.691951,0.532361
15,0.691104,0.531594
16,0.690349,0.530937
17,0.689673,0.530361
18,0.689066,0.529844
19,0.688521,0.529398
20,0.688028,0.528997
21,0.687582,0.528648
22,0.687177,0.528338
23,0.686808,0.528041
24,0.68647,0.527755
25,0.686159,0.527488
26,0.685872,0.527235
27,0.685605,0.526994
28,0.685357,0.52676
29,0.685124,0.52654
30,0.684903,0.526326
