iteration,rmse,mae
1,0.957628,0.764657
2,0.935999,0.747396
3,0.928576,0.741391
4,0.924534,0.738137
5,0.921614,0.735796
6,0.91902,0.733725
7,0.916361,0.731615
8,0.913395,0.72927
9,0.909973,0.726549
10,0.906044,0.723403
11,0.901677,0.719884
12,0.897039,0.716136
13,0.892335,0.712313
14,0.887733,0.708569
15,0.883329,0.704984
16,0.879153,0.701591
17,0.875193,0.698386
18,0.871423,0.695345
19,0.867814,0.69244
20,0.864344,0.689659
21,0.860999,0.686986
22,0.85777,0.684397
23,0.854649,0.681891
24,0.851636,0.679475
25,0.848728,0.677148
26,0.845925,0.674905
27,0.843226,0.672742
28,0.840632,0.670663
29,0.838139,0.668665
30,0.835748,0.666749
